latitude,longitude,date,temp,wspd,rhum,brightness,frp,confidence,grid_id,fire_occurred
36.750552228595055,127.1903907246265,2024-11-22,7.0,10.2,59,311.66,3.19,n,l_55_23,1
36.43101425020951,128.4864932297074,2024-11-22,5.8,13.4,60,,,n,l_48_49,1
37.89894687148107,127.55379669042631,2024-11-19,2.5,2.1,64,326.09,2.01,n,l_77_31,1
35.78008086734173,127.83169647857369,2024-11-18,2.7,7.6,39,,,n,l_35_36,1
37.145137574453756,128.05626300958122,2024-11-18,2.9,3.8,42,296.4,0.93,n,l_62_41,1
37.44520640774052,127.24322926776148,2024-11-16,15.5,10.0,74,,,n,l_68_24,1
37.61454212418541,127.25283646821458,2024-11-15,14.4,7.3,81,302.03,2.01,n,l_72_25,1
36.55928475825655,127.00926772750913,2024-11-12,13.8,5.4,78,,,n,l_51_20,1
37.44170886028484,127.49255718389048,2024-11-12,10.7,7.1,74,,,n,l_68_29,1
37.29186264766142,127.09181441313973,2024-11-11,15.3,4.4,75,295.93,0.54,n,l_65_21,1
37.78562341573014,127.45748952510777,2024-11-10,14.2,4.1,74,335.37,1.87,n,l_75_29,1
36.674770664108046,126.83792257422127,2024-11-07,6.9,1.9,69,306.27,2.34,n,l_53_16,1
37.95676155116923,127.14775153106896,2024-11-07,5.5,6.5,50,347.72,25.63,n,l_79_22,1
38.55408579409266,128.39297931442383,2024-11-07,7.5,12.4,56,,,n,l_91_47,1
37.45548206742889,127.53085656448971,2024-11-04,13.3,11.9,71,,,n,l_69_30,1
36.13204538284133,128.77535261644826,2024-12-31,4.5,14.7,42,317.83,2.46,n,l_42_55,1
37.48392557569505,127.40512621097055,2024-12-30,2.1,10.9,73,,,n,l_69_28,1
37.750092887812855,126.79656481095618,2024-12-30,4.8,11.9,74,297.02,0.92,n,l_75_15,1
37.7862130169285,128.88735858725758,2024-12-29,-6.0,19.5,38,300.5,0.9400000000000001,n,l_75_57,1
38.01380715199152,128.61974759058558,2024-12-28,-10.4,22.9,32,,,n,l_80_52,1
34.51085243872627,127.74100430912472,2024-12-26,5.5,35.5,69,296.28,1.07,n,l_10_34,1
34.898371790664406,127.4697856918054,2024-12-26,4.5,27.7,69,303.95,2.26,n,l_17_29,1
36.234660835760494,128.5965811653051,2024-12-26,4.3,14.1,58,298.72,1.69,n,l_44_51,1
36.19169000045164,128.47461000000797,2024-12-24,2.8,9.1,48,298.72,1.69,n,l_43_49,1
38.396619999886376,128.43847000000048,2024-12-23,-0.7000000000000001,26.0,56,,,n,l_87_48,1
37.62365000005035,127.30498999999988,2024-12-20,-0.4,5.8,68,,,n,l_72_26,1
34.68911046696936,128.05699915342944,2024-12-19,2.5,19.4,52,295.89,1.4100000000000001,n,l_13_41,1
37.775180000029955,126.93476999999974,2024-12-19,-3.5,5.3,61,299.09,1.02,n,l_75_18,1
36.78007084998135,127.95008796525819,2024-12-19,-3.1,4.3,54,304.69,1.1,n,l_55_39,1
37.92596822960631,127.79299295935688,2024-12-18,-5.7,1.8,57,,,n,l_78_35,1
38.036182532601124,127.1444822813748,2024-12-18,-4.5,7.7,60,,,n,l_80_22,1
37.7503620070255,127.35533595215331,2024-12-17,1.3,7.2,51,,,n,l_75_27,1
36.933416549756664,128.85307295007607,2024-12-15,0.4,7.3,61,331.66,3.83,n,l_58_57,1
37.95348880298113,128.35782547352844,2024-12-14,-6.9,18.0,46,,,n,l_79_47,1
35.86433856976461,128.8768537405006,2024-12-14,1.6,14.8,46,331.76,4.07,n,l_37_57,1
34.57152466317516,126.95128008630488,2024-12-12,6.1,8.2,58,367.0,8.18,h,l_11_19,1
35.598422965898905,129.27043737118447,2024-12-12,4.9,9.8,48,331.76,4.07,n,l_31_65,1
37.40389000015826,127.19408999999935,2024-12-12,0.1,4.2,46,,,n,l_68_23,1
36.99332406936375,128.33526871965935,2024-12-11,,,63,301.98,1.08,n,l_59_46,1
36.822651659535794,128.67268345237753,2024-12-10,1.1,3.5,61,298.87,0.55,n,l_56_53,1
