grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
242,-4.2,18.5,50,300.5,0.94,1,1
88,2.9,5.8,55,330.38,2.6,1,1
131,0.7000000000000001,5.1,54,317.83,2.46,1,1
171,-0.5,9.7,67,295.93,1.19,1,1
175,5.8,2.6,60,,,1,1
226,5.5,1.7000000000000002,51,,,1,1
150,6.8,1.2,63,,,1,1
157,9.3,5.5,45,,,1,1
44,8.2,10.5,29,,,1,1
105,3.3,6.4,33,,,1,1
11,5.7,5.6,51,,,1,1
256,1.3,14.9,18,,,1,1
222,2.3,5.7,33,,,1,1
168,3.3,4.8,39,,,1,1
165,3.8,3.3,23,,,1,1
250,3.0,8.9,18,,,1,1
156,2.3,10.8,58,,,1,1
209,3.7,8.1,46,,,1,1
214,2.1,12.2,61,,,1,1
289,5.6,20.2,63,,,1,1
282,0.9,10.8,51,,,1,1
279,-1.9,24.0,28,,,1,1
264,0.9,10.8,56,,,1,1
74,4.0,11.0,43,,,1,1
31,1.3,12.0,41,,,1,1
115,1.2,6.2,57,,,1,1
169,0.5,11.5,63,,,1,1
180,1.0,13.9,67,,,1,1
276,-2.6,10.7,51,,,1,1
155,-1.6,8.8,49,,,1,1
138,-1.9,10.2,38,,,1,1
109,0.6000000000000001,15.1,37,,,1,1
77,0.3,11.5,30,,,1,1
38,0.9,14.4,33,,,1,1
38,-0.5,17.1,33,,,1,1
281,-4.6,14.8,47,,,1,1
259,-1.3,8.3,44,,,1,1
193,-3.8,20.2,46,,,1,1
228,-3.2,31.2,45,,,1,1
205,-3.2,13.0,52,,,1,1
251,-3.7,12.0,39,,,1,1
272,-3.2,5.0,43,,,1,1
116,-2.9,12.4,54,,,1,1
67,0.0,10.0,30,,,1,1
225,-3.8,12.0,45,,,1,1
219,-9.4,14.1,42,,,1,1
237,-3.5,10.4,50,,,1,1
243,-9.4,14.1,36,,,1,1
178,-3.7,12.6,43,,,1,1
9,-1.0,14.7,54,,,1,1
172,-2.4,4.4,48,,,1,1
202,-3.3,8.4,39,,,1,1
24,0.3,27.4,47,,,1,1
127,-2.8,16.6,43,,,1,1
141,-3.5,10.4,51,,,1,1
110,-1.8,9.9,52,,,1,1
284,-2.9,18.7,35,,,1,1
170,-3.2,18.6,39,,,1,1
154,-1.1,21.4,42,,,1,1
179,-2.8,21.5,47,,,1,1
118,-0.9,11.2,47,,,1,1
236,2.4,9.5,39,,,1,1
55,5.6,8.9,55,,,1,1
57,5.3,7.7,73,,,1,1
185,-0.2,7.1,62,,,1,1
27,2.5,7.6,48,,,1,1
266,-7.6,24.2,30,,,1,1
215,-1.4,7.2,70,,,1,1
95,-3.0,12.2,56,,,1,1
244,-15.3,15.2,39,,,1,1
286,-7.0,27.5,54,,,1,1
197,-5.7,20.1,60,,,1,1
261,-15.3,25.5,33,,,1,1
283,-9.4,27.4,30,,,1,1
183,-1.7000000000000002,20.7,53,,,1,1
33,4.0,9.3,86,,,1,1
87,7.3,5.9,45,,,1,1
5,7.0,5.5,61,,,1,1
106,20.0,8.2,74,,,1,1
166,8.2,23.3,66,,,1,1
94,17.0,7.9,40,,,1,1
83,17.4,8.7,31,,,1,1
62,17.0,7.9,43,,,1,1
247,11.7,9.6,58,,,1,1
187,12.5,10.9,49,,,1,1
211,11.5,8.0,50,,,1,1
114,13.9,20.8,45,,,1,1
98,17.6,6.5,42,,,1,1
104,14.2,14.3,32,,,1,1
100,17.6,6.5,40,,,1,1
29,16.7,6.9,42,,,1,1
164,16.4,10.5,58,,,1,1
43,14.7,18.8,56,,,1,1
186,11.0,16.7,67,,,1,1
151,13.4,11.4,64,,,1,1
68,13.2,16.0,57,,,1,1
205,10.4,14.4,71,,,1,1
16,14.7,18.8,67,,,1,1
65,18.9,10.5,50,,,1,1
69,18.1,10.2,55,,,1,1
263,10.4,16.5,70,,,1,1
83,18.1,8.2,40,,,1,1
93,15.8,9.9,48,,,1,1
78,15.8,9.9,51,,,1,1
135,15.0,15.9,46,,,1,1
287,13.8,14.2,79,,,1,1
60,14.1,13.9,41,,,1,1
112,13.1,10.9,36,,,1,1
260,11.7,4.9,57,,,1,1
79,17.5,6.5,33,,,1,1
224,12.9,9.9,60,,,1,1
221,9.5,10.7,55,,,1,1
58,13.3,7.5,53,,,1,1
131,15.3,10.2,34,,,1,1
34,13.1,5.9,54,,,1,1
124,13.1,15.5,35,,,1,1
57,13.3,7.5,53,,,1,1
90,13.3,7.5,41,,,1,1
108,17.1,9.8,29,,,1,1
195,9.5,10.7,51,,,1,1
2,12.3,9.9,78,,,1,1
203,13.0,10.6,55,,,1,1
84,17.1,9.8,29,,,1,1
8,10.5,11.0,59,,,1,1
12,10.5,11.0,59,,,1,1
188,11.0,12.0,51,,,1,1
120,15.3,10.2,32,,,1,1
91,17.1,9.8,27,,,1,1
40,13.1,5.9,54,,,1,1
63,8.6,8.6,60,,,1,1
227,,,63,,,1,1
184,6.5,13.3,62,,,1,1
128,3.5,10.9,56,,,1,1
35,4.2,9.3,41,,,1,1
50,4.2,9.3,42,,,1,1
218,2.3,6.6,50,,,1,1
52,,,69,,,1,1
130,5.0,9.8,58,,,1,1
270,,,46,,,1,1
232,11.1,6.9,64,,,1,1
275,,,38,,,1,1
252,11.6,10.7,66,,,1,1
194,12.2,10.6,46,,,1,1
176,,,42,,,1,1
96,12.1,11.5,31,,,1,1
198,8.1,10.5,38,,,1,1
37,8.8,11.4,38,,,1,1
136,8.4,22.1,55,,,1,1
153,10.3,4.4,45,,,1,1
27,10.2,16.1,40,,,1,1
8,10.6,10.7,48,,,1,1
21,10.6,7.6,41,,,1,1
262,7.3,8.8,48,,,1,1
234,7.9,9.3,46,,,1,1
272,11.0,5.5,44,,,1,1
258,7.8,9.6,51,,,1,1
75,9.5,9.2,49,,,1,1
29,10.6,4.9,39,,,1,1
85,12.3,9.7,41,,,1,1
72,12.0,7.9,60,,,1,1
121,9.3,8.1,49,,,1,1
39,8.9,7.1,58,,,1,1
126,9.5,5.2,61,,,1,1
97,7.6,7.9,66,,,1,1
130,8.1,4.5,63,,,1,1
278,5.3,3.7,57,,,1,1
111,3.4,4.7,60,,,1,1
255,5.8,4.2,53,,,1,1
130,6.5,5.1,63,,,1,1
216,4.1,6.2,74,,,1,1
217,4.1,6.2,74,,,1,1
237,5.7,5.7,82,,,1,1
132,-2.1,6.2,57,,,1,0
172,-2.4,4.4,48,,,1,0
104,14.2,14.3,32,,,1,0
199,7.7,6.0,58,295.35,0.91,1,0
112,13.1,10.9,36,,,1,0
90,13.3,7.5,41,,,1,0
99,0.7000000000000001,10.3,50,298.06,1.03,1,0
47,13.4,15.7,41,312.43,1.24,1,0
81,18.6,8.9,22,299.15,1.08,1,0
94,17.0,7.9,40,,,1,0
185,-0.2,7.1,62,,,1,0
134,13.8,5.4,78,,,1,0
70,4.9,9.8,48,331.76,4.07,1,0
116,-2.9,12.4,54,,,1,0
23,3.5,11.2,62,329.47,3.11,1,0
258,7.8,9.6,51,,,1,0
136,8.4,22.1,55,,,1,0
232,11.1,6.9,64,,,1,0
235,-3.4,9.2,50,,,1,0
92,3.6,7.7,69,298.61,0.67,1,0
78,15.8,9.9,51,,,1,0
8,10.6,10.7,48,,,1,0
2,12.3,9.9,78,,,1,0
61,9.4,5.6,65,320.63,1.33,1,0
32,3.0,11.3,29,301.27,1.49,1,0
272,-3.2,5.0,43,,,1,0
208,0.1,4.2,46,,,1,0
75,9.5,9.2,49,,,1,0
261,-15.3,25.5,33,,,1,0
268,11.6,10.3,53,338.81,2.41,1,0
198,8.1,10.5,38,,,1,0
201,17.3,13.0,64,304.13,0.61,1,0
233,4.7,7.6,67,326.94,0.98,1,0
72,12.0,7.9,60,,,1,0
243,-9.4,14.1,36,,,1,0
117,13.1,10.9,36,299.43,0.59,1,0
57,13.3,7.5,53,,,1,0
83,18.1,8.2,40,,,1,0
278,5.3,3.7,57,,,1,0
37,8.8,11.4,38,,,1,0
34,13.1,5.9,54,,,1,0
194,12.2,10.6,46,,,1,0
131,15.3,10.2,34,,,1,0
218,13.3,11.9,71,,,1,0
126,9.5,5.2,61,,,1,0
244,-15.3,15.2,39,,,1,0
256,1.3,14.9,18,,,1,0
252,11.6,10.7,66,,,1,0
102,4.5,14.7,42,317.83,2.46,1,0
129,4.0,8.5,59,,,1,0
284,-2.9,18.7,35,,,1,0
249,-3.5,5.3,61,299.09,1.02,1,0
100,17.6,6.5,40,,,1,0
103,2.8,9.1,48,298.72,1.69,1,0
157,0.2,4.2,57,295.08,0.92,1,0
234,7.9,9.3,46,,,1,0
54,5.3,5.1,57,346.87,3.22,1,0
171,-0.5,9.7,67,295.93,1.19,1,0
71,0.9,3.5,53,,,1,0
276,-2.6,10.7,51,,,1,0
289,5.6,20.2,63,,,1,0
82,2.7,7.6,39,,,1,0
238,3.3,14.1,54,301.71,0.78,1,0
105,3.3,6.4,33,,,1,0
186,11.0,16.7,67,,,1,0
24,0.3,27.4,47,,,1,0
91,17.1,9.8,27,,,1,0
152,7.7,3.1,65,325.17,1.81,1,0
170,-3.2,18.6,39,,,1,0
210,10.7,7.1,74,,,1,0
168,3.3,4.8,39,,,1,0
149,1.1,3.5,61,298.87,0.55,1,0
165,3.8,3.3,23,,,1,0
93,15.8,9.9,48,,,1,0
264,0.9,10.8,56,,,1,0
107,4.3,14.1,58,298.72,1.69,1,0
187,12.5,10.9,49,,,1,0
179,2.3,12.4,71,308.48,1.35,1,0
183,-1.7000000000000002,20.7,53,,,1,0
174,5.0,4.4,64,325.17,1.81,1,0
248,4.0,8.9,62,301.71,0.78,1,0
150,6.8,1.2,63,,,1,0
42,,,52,309.72,1.06,1,0
27,2.5,7.6,48,,,1,0
259,-1.3,8.3,44,,,1,0
66,15.9,12.0,36,312.43,1.24,1,0
51,5.3,5.1,64,338.33,3.92,1,0
283,-9.4,27.4,30,,,1,0
182,11.6,10.7,56,336.43,5.0,1,0
251,-3.7,12.0,39,,,1,0
269,-5.7,1.8,57,,,1,0
270,,,46,,,1,0
231,-0.4,5.8,68,,,1,0
43,14.7,18.8,56,,,1,0
38,-0.5,17.1,33,,,1,0
155,-1.6,8.8,49,,,1,0
220,2.4,16.5,43,301.71,0.78,1,0
83,17.4,8.7,31,,,1,0
164,16.4,10.5,58,,,1,0
192,15.3,4.4,75,295.93,0.54,1,0
