grid_id_encoded,temp,wspd,rhum,brightness,frp,confidence,fire_occurred
36,24.3,13.0,50,297.54,0.64,n,1
14,19.9,5.8,50,297.31,0.44,n,1
13,17.7,10.1,50,298.68,0.55,n,1
8,13.4,9.4,50,303.2,0.67,n,1
114,24.3,13.0,50,314.91,0.85,n,1
53,17.7,10.1,50,301.21,0.55,n,1
117,16.8,9.7,50,296.45,0.28,n,1
98,16.8,9.7,50,309.33,1.0,n,1
98,16.8,9.7,50,331.78,5.45,l,1
53,17.0,7.9,50,297.79,0.46,n,1
80,17.0,7.9,50,312.02,1.23,n,1
44,17.0,7.9,50,307.19,1.05,n,1
98,17.0,7.9,50,314.76,1.68,n,1
107,15.2,8.6,50,295.54,0.6,n,1
114,27.1,12.6,50,306.62,1.02,n,1
98,19.4,8.6,50,298.79,0.39,n,1
80,19.4,8.6,50,304.12,0.84,n,1
104,19.1,9.7,50,354.62,44.52,n,1
104,19.1,9.7,50,348.57,44.52,n,1
104,19.1,9.7,50,367.0,44.52,l,1
104,19.1,9.7,50,367.0,44.52,h,1
104,21.0,12.0,50,297.64,0.31,n,1
13,19.9,10.4,50,302.18,0.6,n,1
44,19.9,10.4,50,313.09,1.47,n,1
98,19.9,10.4,50,304.48,0.24,n,1
98,19.9,10.4,50,304.49,0.69,n,1
98,19.9,10.4,50,316.68,1.3,n,1
117,20.8,10.1,50,301.36,0.51,n,1
98,20.8,10.1,50,303.06,0.74,n,1
53,17.8,9.7,50,299.36,0.33,n,1
80,17.8,9.7,50,310.22,0.68,n,1
98,17.8,9.7,50,298.67,0.55,n,1
98,17.8,9.7,50,297.74,0.32,n,1
36,25.6,12.6,50,301.83,0.41,n,1
44,17.8,9.7,50,301.43,0.09,n,1
98,17.8,9.7,50,310.0,1.52,n,1
114,17.8,9.7,50,311.68,1.49,n,1
8,13.4,7.2,50,296.99,0.53,n,1
44,17.8,9.7,50,309.29,0.87,n,1
98,17.9,10.1,50,302.42,1.12,n,1
44,17.9,10.1,50,306.15,0.91,n,1
44,17.9,10.1,50,306.05,1.43,n,1
80,17.9,10.1,50,305.56,1.79,n,1
94,17.9,10.1,50,296.94,0.8,n,1
44,17.9,10.1,50,333.5,2.5,n,1
98,18.8,10.8,50,313.68,0.76,n,1
98,18.8,10.8,50,300.35,0.4,n,1
80,20.6,9.0,50,317.83,1.52,n,1
114,29.2,22.3,50,310.1,0.92,n,1
114,20.6,9.0,50,305.29,0.92,n,1
98,20.6,9.0,50,316.44,1.01,n,1
98,20.6,9.0,50,304.33,0.65,n,1
98,20.6,9.0,50,302.89,0.5,n,1
107,17.0,9.4,50,299.65,0.47,n,1
44,20.6,9.0,50,308.1,0.8,n,1
44,20.6,9.0,50,308.5,0.8,n,1
152,20.0,8.3,50,302.37,0.8,n,1
98,22.6,12.6,50,309.76,0.93,n,1
134,21.2,7.9,50,310.93,0.94,n,1
152,21.2,7.9,50,304.49,1.35,n,1
150,18.3,10.4,50,302.07,0.34,n,1
144,21.2,7.9,50,312.26,1.31,n,1
157,21.2,7.9,50,303.14,1.31,n,1
157,21.2,7.9,50,300.6,0.61,n,1
160,18.3,10.4,50,305.09,1.46,n,1
114,27.5,28.1,50,313.66,1.57,n,1
107,17.3,12.5,50,299.35,0.61,n,1
98,22.6,12.6,50,319.67,1.51,n,1
98,22.6,12.6,50,312.31,1.18,n,1
166,21.2,7.9,50,303.96,0.76,n,1
8,22.7,7.9,50,309.98,0.62,n,1
12,22.6,12.6,50,297.51,0.23,n,1
39,22.6,12.6,50,301.02,0.4,n,1
44,22.6,12.6,50,317.74,1.27,n,1
80,22.6,12.6,50,312.27,1.46,n,1
53,22.6,12.6,50,305.11,0.39,n,1
44,21.3,10.8,50,314.4,0.9,n,1
98,21.3,10.8,50,303.07,1.62,n,1
98,21.3,10.8,50,303.05,0.73,n,1
80,21.3,10.8,50,304.54,0.91,n,1
53,21.3,10.8,50,298.07,0.3,n,1
134,21.3,11.5,50,305.69,0.78,n,1
144,21.3,11.5,50,299.74,0.86,n,1
8,18.3,6.1,50,301.26,0.55,n,1
13,21.3,10.8,50,299.66,0.29,n,1
36,26.2,24.1,50,300.84,0.52,n,1
53,21.3,10.8,50,299.57,0.33,n,1
33,21.3,10.8,50,339.91,10.1,n,1
114,23.2,36.4,50,296.88,0.5,n,1
