latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.42952,-118.64615,311.96,0.39,0.36,2024-05-08,0945,N20,VIIRS,n,2,281.63,0.9,N,2
34.33322,-118.51937,338.41,0.42,0.37,2024-05-08,2104,N20,VIIRS,l,2,311.32,4.53,D,2
34.1533,-118.19205,335.7,0.42,0.38,2024-05-08,2104,N20,VIIRS,l,2,307.12,2.9,D,2
34.29337,-118.79962,309.79,0.49,0.4,2024-05-09,0926,N20,VIIRS,n,2,283.21,0.95,N,2
34.15528,-118.19465,318.73,0.46,0.39,2024-05-09,0926,N20,VIIRS,n,2,284.12,2.03,N,2
34.42963,-118.64252,308.49,0.48,0.4,2024-05-09,0926,N20,VIIRS,n,2,282.28,0.9,N,2
34.07961,-117.50018,309.34,0.49,0.48,2024-05-10,0907,N20,VIIRS,n,2,285.85,1.56,N,2
34.3892,-117.70793,337.37,0.4,0.44,2024-05-10,2027,N20,VIIRS,n,2,298.69,3.43,D,0
34.33316,-118.52003,310.99,0.44,0.46,2024-05-12,1010,N20,VIIRS,n,2,284.6,1.8,N,2
34.33508,-118.51853,323.22,0.41,0.37,2024-05-13,0951,N20,VIIRS,n,2,286.17,2.3,N,2
34.3323,-118.51923,330.36,0.47,0.4,2024-05-13,2110,N20,VIIRS,n,2,297.76,2.93,D,2
34.33312,-118.51638,330.54,0.47,0.4,2024-05-13,2111,N20,VIIRS,n,2,296.38,3.12,D,2
34.15408,-118.18995,331.31,0.57,0.43,2024-05-18,2117,N20,VIIRS,l,2,302.71,1.52,D,0
34.33447,-118.51787,333.98,0.39,0.36,2024-05-19,2058,N20,VIIRS,l,2,304.19,4.02,D,2
34.4325,-118.64413,305.36,0.38,0.44,2024-05-20,0920,N20,VIIRS,n,2,282.45,1.27,N,2
33.81591,-118.23666,297.69,0.33,0.55,2024-05-21,0901,N20,VIIRS,n,2,287.65,0.81,N,2
33.77982,-118.23714,299.97,0.33,0.55,2024-05-21,0901,N20,VIIRS,n,2,287.88,0.57,N,0
33.82156,-118.24332,301.28,0.33,0.55,2024-05-21,0901,N20,VIIRS,n,2,288.39,0.82,N,2
33.77737,-118.23824,298.46,0.33,0.55,2024-05-21,0901,N20,VIIRS,n,2,286.18,0.81,N,0
34.37992,-117.68367,353.77,0.49,0.49,2024-05-21,2020,N20,VIIRS,n,2,313.02,51.64,D,0
34.33805,-118.52087,296.02,0.66,0.73,2024-05-22,0842,N20,VIIRS,n,2,282.59,0.53,N,2
34.15128,-118.19278,311.71,0.34,0.56,2024-05-22,1022,N20,VIIRS,n,2,282.41,0.76,N,2
34.15498,-118.19342,308.85,0.34,0.56,2024-05-22,1022,N20,VIIRS,n,2,282.58,0.68,N,2
34.32285,-118.52776,298.83,0.32,0.55,2024-05-22,1022,N20,VIIRS,n,2,282.43,0.3,N,0
34.33636,-118.51823,311.11,0.32,0.55,2024-05-22,1022,N20,VIIRS,n,2,282.75,0.8,N,2
34.43128,-118.64649,299.78,0.63,0.54,2024-05-22,1022,N20,VIIRS,n,2,282.44,1.34,N,2
34.29298,-118.80058,295.7,0.62,0.54,2024-05-22,1022,N20,VIIRS,n,2,282.37,0.89,N,2
34.38329,-117.68708,367,0.45,0.63,2024-05-22,2001,N20,VIIRS,h,2,295.2,12.82,D,0
34.37781,-117.68483,367,0.45,0.63,2024-05-22,2001,N20,VIIRS,h,2,298.5,8.64,D,0
34.37831,-117.6801,367,0.47,0.64,2024-05-22,2142,N20,VIIRS,h,2,301.41,29.26,D,0
34.38207,-117.6806,367,0.47,0.64,2024-05-22,2142,N20,VIIRS,h,2,296.41,28.69,D,0
34.37803,-117.6853,348.36,0.47,0.64,2024-05-22,2142,N20,VIIRS,n,2,312.86,29.26,D,0
34.38181,-117.68599,348.49,0.47,0.64,2024-05-22,2142,N20,VIIRS,n,2,312.73,28.69,D,0
34.38233,-117.68633,295.44,0.39,0.44,2024-05-23,1003,N20,VIIRS,n,2,280.51,0.29,N,0
33.92521,-118.42958,339.43,0.41,0.37,2024-05-24,2104,N20,VIIRS,n,2,300.24,6.08,D,0
34.2422,-118.3799,298.63,0.47,0.4,2024-05-25,0926,N20,VIIRS,n,2,283.04,0.5,N,0
34.33339,-118.51877,299.12,0.48,0.4,2024-05-25,0926,N20,VIIRS,n,2,281.61,0.93,N,2
34.43011,-118.64566,306.28,0.49,0.4,2024-05-25,0926,N20,VIIRS,n,2,281.33,1.2,N,2
34.29399,-118.80385,298.33,0.49,0.41,2024-05-25,0926,N20,VIIRS,n,2,279.87,0.58,N,2
34.29276,-118.79993,296.93,0.59,0.53,2024-05-26,0907,N20,VIIRS,n,2,282.45,0.81,N,2
34.4304,-118.64659,300.85,0.58,0.52,2024-05-26,0907,N20,VIIRS,n,2,282.08,0.79,N,2
34.33795,-118.52172,298.32,0.57,0.52,2024-05-26,0907,N20,VIIRS,n,2,281.54,0.53,N,2
34.33802,-118.52184,299.16,0.57,0.52,2024-05-26,0907,N20,VIIRS,n,2,281.52,0.71,N,2
33.71427,-117.71214,298.51,0.48,0.64,2024-05-27,0848,N20,VIIRS,n,2,283.01,0.65,N,0
34.33744,-118.52083,300.38,0.54,0.68,2024-05-27,0848,N20,VIIRS,n,2,283.73,0.7,N,2
34.15742,-118.19485,297.24,0.51,0.66,2024-05-27,0848,N20,VIIRS,n,2,283.36,0.4,N,2
33.82128,-118.24456,298.56,0.51,0.66,2024-05-27,0848,N20,VIIRS,n,2,287.19,0.99,N,2
33.81487,-118.23944,297.62,0.51,0.66,2024-05-27,0848,N20,VIIRS,n,2,287.6,1.16,N,2
