발생일시,진화일시,주소,진행상태,대응단계
2025-03-22 14:02,2025-03-25 09:00,경상남도 김해시 한림면,진화완료,2단계
2025-03-22 13:57,2025-03-23 08:11,경상북도 의성군 금성면,진화완료,초기대응
2025-03-22 13:51,2025-03-22 18:03,경기도 여주시 강천면,진화완료,초기대응
2025-03-22 13:25,2025-03-22 13:50,전라남도 진도군 군내면,진화완료,초기대응
2025-03-22 13:13,2025-03-22 14:50,경기도 광주시 초월읍,진화완료,초기대응
2025-03-22 13:13,2025-03-22 15:24,경기도 연천군 백학면,진화완료,초기대응
2025-03-22 13:06,2025-03-22 16:40,대구광역시 수성구 욱수동,진화완료,초기대응
2025-03-22 12:54,2025-03-22 14:34,전라남도 보성군 웅치면,진화완료,초기대응
2025-03-22 12:42,2025-03-22 17:50,전라남도 보성군 노동면,진화완료,초기대응
2025-03-22 12:12,2025-03-27 20:40,울산광역시 울주군 온양읍,진화완료,3단계
2025-03-22 11:31,2025-03-22 13:39,경기도 여주시 점동면,진화완료,초기대응
2025-03-22 11:24,2025-03-28 17:15,경상북도 의성군 안평면,진화완료,3단계
2025-03-22 10:08,2025-03-22 11:30,대구광역시 북구 국우동,진화완료,초기대응
2025-03-22 10:07,2025-03-22 10:32,광주광역시 광산구 두정동,진화완료,초기대응
2025-03-21 16:20,2025-03-21 17:40,전라남도 광양시 진상면,진화완료,초기대응
2025-03-21 15:26,2025-03-30 13:00,경상남도 산청군 시천면,진화완료,3단계
2025-03-21 15:09,2025-03-21 17:44,전북특별자치도 임실군 삼계면,진화완료,초기대응
2025-03-21 14:53,2025-03-21 17:17,경상남도 하동군 옥종면,진화완료,초기대응
2025-03-21 14:32,2025-03-21 15:30,강원특별자치도 평창군 용평면,진화완료,초기대응
2025-03-21 14:10,2025-03-21 14:48,대전광역시 동구 오동,진화완료,초기대응
2025-03-20 15:15,2025-03-20 15:55,경기도 용인시 처인구,진화완료,초기대응
2025-03-20 14:49,2025-03-20 15:40,전라남도 광양시 옥곡면,진화완료,초기대응
2025-03-20 14:48,2025-03-20 15:54,경상남도 김해시 진례면,진화완료,초기대응
2025-03-20 14:45,2025-03-20 21:00,경상남도 사천시 곤명면,진화완료,1단계
2025-03-20 12:17,2025-03-20 13:43,경기도 화성시 매송면,진화완료,초기대응
2025-03-19 16:00,2025-03-19 17:21,충청남도 태안군 안면읍,진화완료,초기대응
