발생일시,진화일시,주소,진행상태,대응단계
2024-11-22 12:22,2024-11-22 13:17,충청남도 천안시동남구 목천읍,진화완료,초기대응
2024-11-22 12:10,2024-11-22 13:50,경상북도 의성군 안사면,진화완료,초기대응
2024-11-19 15:22,2024-11-19 15:40,경기도 가평군 북면,진화완료,초기대응
2024-11-18 15:16,2024-11-18 16:35,경상남도 거창군 북상면,진화완료,초기대응
2024-11-18 10:50,2024-11-18 11:14,충청북도 제천시 백운면,진화완료,초기대응
2024-11-16 05:13,2024-11-16 07:30,경기도 광주시 회덕동,진화완료,초기대응
2024-11-15 15:36,2024-11-15 18:33,경기도 남양주시 와부읍,진화완료,초기대응
2024-11-12 19:45,2024-11-12 21:04,충청남도 공주시 사곡면,진화완료,초기대응
2024-11-12 14:58,2024-11-12 15:26,경기도 양평군 강상면,진화완료,초기대응
2024-11-11 12:16,2024-11-11 12:41,경기도 용인시기흥구 신갈동,진화완료,초기대응
2024-11-10 15:09,2024-11-10 15:50,경기도 가평군 청평면,진화완료,초기대응
2024-11-07 15:19,2024-11-07 16:30,충청남도 예산군 예산읍,진화완료,초기대응
2024-11-07 12:35,2024-11-07 13:30,경기도 포천시 신북면,진화완료,초기대응
2024-11-07 11:07,2024-11-07 12:50,강원특별자치도 고성군 현내면,진화완료,초기대응
2024-11-04 15:46,2024-11-04 16:01,경기도 양평군 개군면,진화완료,초기대응
2024-10-13 11:02,2024-10-13 12:30,경상남도 통영시 산양읍,진화완료,초기대응
2024-10-13 09:07,2024-10-13 10:00,경기도 시흥시 월곶동,진화완료,초기대응
